Customer_query,Category,Intent,Priority
I need information about general information for my subscription (reference 9490).,General Inquiry,General Information,Low
I need help with this as soon as possible: what the latest version includes.,Product Inquiry,Product Information,High
I need information about service complaint for the premium plan (reference 9492).,Complaint,Service Complaint,Medium
I need information about general information for the customer portal (reference 9493).,General Inquiry,General Information,Medium
I need information about service request for your service (reference 9494).,Service Inquiry,Service Request,Low
I need information about general information for my current plan (reference 9495).,General Inquiry,General Information,Low
Can you tell me the current pricing for your AI HR software?,Pricing,Pricing Information,Low
Do you know how much the software costs?,Pricing,Pricing Information,Low
I need information about service information for my current plan (reference 9498).,Service Inquiry,Service Information,Medium
I need information about service request for your service (reference 9499).,Service Inquiry,Service Request,Medium
I'm having trouble with adding a feature to my account.,Product Inquiry,Product Request,Medium
I need information about pricing information for the HR platform (reference 9501).,Pricing,Pricing Information,High
I can't seem to more information about my recent order.,Product Inquiry,Product Information,Medium
Can someone look into this right away: what I should know about my recent order.,Product Inquiry,Product Information,High
Can someone look into this right away: the software crashing.,Technical Support,Technical Issue,High
Please help me resolve this urgently: the business plan not connecting.,Technical Support,Technical Issue,High
I need information about pricing information for your AI HR software (reference 9506).,Pricing,Pricing Information,High
I need information about general information for my subscription (reference 9507).,General Inquiry,General Information,Low
I need information about account request for my recent order (reference 9508).,General Inquiry,Account Request,Medium
I need information about service information for our company account (reference 9509).,Service Inquiry,Service Information,Medium
I need information about general information for our company account (reference 9510).,General Inquiry,General Information,Low
I need information about general information for my subscription (reference 9511).,General Inquiry,General Information,Low
I need information about service request for the software (reference 9512).,Service Inquiry,Service Request,Low
I need help with this as soon as possible: the software crashing.,Technical Support,Technical Issue,High
I'm stuck with details on my account.,Product Inquiry,Product Information,Medium
I need information about service complaint for the software (reference 9515).,Complaint,Service Complaint,Low
I was wondering notifications from my recent order not working?,Technical Support,Technical Issue,Low
I need information about service request for the HR platform (reference 9517).,Service Inquiry,Service Request,Medium
I need information about service information for my recent order (reference 9518).,Service Inquiry,Service Information,Low
I need information about general information for the business plan (reference 9519).,General Inquiry,General Information,Low
I need information about service complaint for the software (reference 9520).,Complaint,Service Complaint,Medium
I need information about general information for your service (reference 9521).,General Inquiry,General Information,High
I need information about service complaint for the HR platform (reference 9522).,Complaint,Service Complaint,Low
I need help with this as soon as possible: a billing issue with the software.,Pricing,Billing Request,High
Do you know the software not connecting?,Technical Support,Technical Issue,Low
I need information about general information for your service (reference 9525).,General Inquiry,General Information,High
Could someone help me with uploading a file to your service.,Technical Support,Technical Issue,Medium
I need information about service request for my current plan (reference 9527).,Service Inquiry,Service Request,Medium
I need information about service complaint for my subscription (reference 9528).,Complaint,Service Complaint,Medium
I need help with this as soon as possible: logging into the customer portal.,Technical Support,Technical Issue,High
I need information about service complaint for your AI HR software (reference 9530).,Complaint,Service Complaint,Medium
I'm trying to find out more information about your service?,Product Inquiry,Product Information,Low
I need information about service information for our company account (reference 9532).,Service Inquiry,Service Information,Medium
I need some help with integrating my current plan with another tool.,Product Inquiry,Product Request,Medium
Can you tell me what I should know about the software?,Product Inquiry,Product Information,Low
I need information about service information for the latest version (reference 9535).,Service Inquiry,Service Information,Low
I wanted to ask how much the premium plan costs?,Pricing,Pricing Information,Low
I need information about service complaint for the HR platform (reference 9537).,Complaint,Service Complaint,Low
I need information about general information for my current plan (reference 9538).,General Inquiry,General Information,Medium
I'm stuck with adding a feature to the HR platform.,Product Inquiry,Product Request,Medium
I need information about service request for the mobile app (reference 9540).,Service Inquiry,Service Request,Medium
I need information about service complaint for the premium plan (reference 9541).,Complaint,Service Complaint,Low
I'm stuck with comparing the latest version with another option.,Product Inquiry,Product Request,Medium
I need information about service complaint for the customer portal (reference 9543).,Complaint,Service Complaint,Low
Do you know my recent order crashing?,Technical Support,Technical Issue,Low
I urgently need help with customizing our company account.,Product Inquiry,Product Request,High
I need information about general information for the business plan (reference 9546).,General Inquiry,General Information,Medium
I'm trying to find out the mobile app running very slowly?,Technical Support,Technical Issue,Low
I need information about service complaint for my recent order (reference 9548).,Complaint,Service Complaint,High
I need information about service complaint for my recent order (reference 9549).,Complaint,Service Complaint,Low
I need information about service request for our company account (reference 9550).,Service Inquiry,Service Request,Medium
I need information about service complaint for our company account (reference 9551).,Complaint,Service Complaint,High
I need information about general information for the latest version (reference 9552).,General Inquiry,General Information,Medium
I was wondering an error in the latest version?,Technical Support,Technical Issue,Low
I need information about service request for the customer portal (reference 9554).,Service Inquiry,Service Request,Medium
I can't seem to an error in the mobile app.,Technical Support,Technical Issue,Medium
Could you let me know what I'd pay for my recent order?,Pricing,Pricing Information,Low
I'm having trouble with the monthly cost of my account.,Pricing,Pricing Information,Medium
I urgently need help with the software crashing.,Technical Support,Technical Issue,High
I need information about general information for the mobile app (reference 9559).,General Inquiry,General Information,Low
I need information about service request for your service (reference 9560).,Service Inquiry,Service Request,Low
I'm having a problem with details on your service.,Product Inquiry,Product Information,Medium
I need information about account request for the customer portal (reference 9562).,General Inquiry,Account Request,Medium
I need information about service complaint for the business plan (reference 9563).,Complaint,Service Complaint,Low
I need information about service complaint for the customer portal (reference 9564).,Complaint,Service Complaint,High
I need information about service complaint for the latest version (reference 9565).,Complaint,Service Complaint,Medium
This is urgent—can you help with integrating the customer portal with another tool.,Product Inquiry,Product Request,High
I'm stuck with logging into the latest version.,Technical Support,Technical Issue,Medium
I was wondering how the customer portal works?,Product Inquiry,Product Information,Low
I need information about account request for my subscription (reference 9569).,General Inquiry,Account Request,Medium
I need information about service complaint for my account (reference 9570).,Complaint,Service Complaint,Medium
I need information about service request for the premium plan (reference 9571).,Service Inquiry,Service Request,Low
I need information about service request for my recent order (reference 9572).,Service Inquiry,Service Request,Low
I need information about pricing information for my current plan (reference 9573).,Pricing,Pricing Information,High
Just checking—integrating the software with another tool?,Product Inquiry,Product Request,Low
I'm having a problem with the current pricing for the mobile app.,Pricing,Pricing Information,Medium
I need some help with what I'd pay for the business plan.,Pricing,Pricing Information,Medium
I'm stuck with what I'd pay for the business plan.,Pricing,Pricing Information,Medium
Just checking—customizing the business plan?,Product Inquiry,Product Request,Low
I need information about pricing information for the latest version (reference 9579).,Pricing,Pricing Information,High
I need information about pricing information for your service (reference 9580).,Pricing,Pricing Information,High
I need information about service complaint for the premium plan (reference 9581).,Complaint,Service Complaint,Medium
Do you know what I'd pay for the customer portal?,Pricing,Pricing Information,Low
I need information about service complaint for the software (reference 9583).,Complaint,Service Complaint,Low
I can't seem to the premium plan not connecting.,Technical Support,Technical Issue,Medium
I was wondering what I should know about the premium plan?,Product Inquiry,Product Information,Low
I'm having trouble with how much the business plan costs.,Pricing,Pricing Information,Medium
This is urgent—can you help with a billing issue with the premium plan.,Pricing,Billing Request,High
I wanted to ask how much the software costs?,Pricing,Pricing Information,Low
I need information about pricing information for my current plan (reference 9589).,Pricing,Pricing Information,High
I'd like to know speaking with a supervisor?,Complaint,Escalation Request,Low
I need information about service complaint for my recent order (reference 9591).,Complaint,Service Complaint,High
I need information about general information for the business plan (reference 9592).,General Inquiry,General Information,Low
I need information about service complaint for the customer portal (reference 9593).,Complaint,Service Complaint,Low
I need information about service request for the HR platform (reference 9594).,Service Inquiry,Service Request,Low
I need information about service complaint for my recent order (reference 9595).,Complaint,Service Complaint,Low
I need information about general information for my subscription (reference 9596).,General Inquiry,General Information,Low
Could someone help me with customizing your service.,Product Inquiry,Product Request,Medium
I need information about service request for the HR platform (reference 9598).,Service Inquiry,Service Request,Low
I need information about service information for my subscription (reference 9599).,Service Inquiry,Service Information,Medium
I need some help with the monthly cost of the software.,Pricing,Pricing Information,Medium
I was wondering the current pricing for the HR platform?,Pricing,Pricing Information,Low
I need information about general information for your service (reference 9602).,General Inquiry,General Information,Low
I'm having a problem with comparing the premium plan with another option.,Product Inquiry,Product Request,Medium
Do you know the price of my recent order?,Pricing,Pricing Information,Low
I'm trying to find out a problem with the mobile app?,Technical Support,Technical Issue,Low
Just wanted to check adding a feature to my account?,Product Inquiry,Product Request,Low
I'm having trouble with uploading a file to your service.,Technical Support,Technical Issue,Medium
I need information about account request for my account (reference 9608).,General Inquiry,Account Request,High
Please help me resolve this urgently: details on the software.,Product Inquiry,Product Information,High
Something isn't working with my subscription crashing.,Technical Support,Technical Issue,Medium
I need information about service complaint for your AI HR software (reference 9611).,Complaint,Service Complaint,High
I need information about general information for the software (reference 9612).,General Inquiry,General Information,Low
I need information about service complaint for the software (reference 9613).,Complaint,Service Complaint,Medium
I wanted to ask the software not connecting?,Technical Support,Technical Issue,Low
I'm running into an issue with the current pricing for my current plan.,Pricing,Pricing Information,Medium
I need information about service complaint for your service (reference 9616).,Complaint,Service Complaint,High
I need information about general information for the latest version (reference 9617).,General Inquiry,General Information,High
I need information about service complaint for your AI HR software (reference 9618).,Complaint,Service Complaint,Medium
I need information about general information for my current plan (reference 9619).,General Inquiry,General Information,High
I need information about pricing information for the HR platform (reference 9620).,Pricing,Pricing Information,High
I need information about general information for your AI HR software (reference 9621).,General Inquiry,General Information,Low
I was wondering details on the customer portal?,Product Inquiry,Product Information,Low
I can't seem to the software running very slowly.,Technical Support,Technical Issue,Medium
I need information about service information for the business plan (reference 9624).,Service Inquiry,Service Information,Low
I'm stuck with getting documentation for your AI HR software.,Product Inquiry,Product Request,Medium
I need information about service information for the software (reference 9626).,Service Inquiry,Service Information,Medium
I need information about pricing information for my recent order (reference 9627).,Pricing,Pricing Information,High
I'm trying to find out the current pricing for the premium plan?,Pricing,Pricing Information,Low
I need information about service complaint for our company account (reference 9629).,Complaint,Service Complaint,Low
Do you know how much my current plan costs?,Pricing,Pricing Information,Low
Can you tell me how your service works?,Product Inquiry,Product Information,Low
I need information about account request for our company account (reference 9632).,General Inquiry,Account Request,Medium
I need information about service request for the latest version (reference 9633).,Service Inquiry,Service Request,Low
I need information about service complaint for my current plan (reference 9634).,Complaint,Service Complaint,Medium
Can you tell me uploading a file to my current plan?,Technical Support,Technical Issue,Low
I need information about service information for the HR platform (reference 9636).,Service Inquiry,Service Information,Low
I need information about service complaint for my current plan (reference 9637).,Complaint,Service Complaint,High
I need information about service information for my account (reference 9638).,Service Inquiry,Service Information,Low
I need information about account request for my current plan (reference 9639).,General Inquiry,Account Request,Low
Something isn't working with the customer portal not connecting.,Technical Support,Technical Issue,Medium
I need information about account request for my recent order (reference 9641).,General Inquiry,Account Request,Medium
I need help with this as soon as possible: details on the customer portal.,Product Inquiry,Product Information,High
I wanted to ask the price of the premium plan?,Pricing,Pricing Information,Low
I need information about service complaint for the premium plan (reference 9644).,Complaint,Service Complaint,Low
I need information about service complaint for my recent order (reference 9645).,Complaint,Service Complaint,Low
I need information about account request for my subscription (reference 9646).,General Inquiry,Account Request,High
I need information about general information for the premium plan (reference 9647).,General Inquiry,General Information,High
I need information about service complaint for the business plan (reference 9648).,Complaint,Service Complaint,Medium
I need information about pricing information for my account (reference 9649).,Pricing,Pricing Information,High
I'd like to know how the HR platform works?,Product Inquiry,Product Information,Low
I'm trying to find out getting documentation for our company account?,Product Inquiry,Product Request,Low
I need information about general information for my account (reference 9652).,General Inquiry,General Information,Medium
I'm trying to find out how much the premium plan costs?,Pricing,Pricing Information,Low
Do you know the current pricing for your AI HR software?,Pricing,Pricing Information,Low
I'm having a problem with more information about my account.,Product Inquiry,Product Information,Medium
I need information about service information for the software (reference 9656).,Service Inquiry,Service Information,Medium
I need information about service information for my account (reference 9657).,Service Inquiry,Service Information,Medium
I need information about service request for the business plan (reference 9658).,Service Inquiry,Service Request,Low
I need information about service complaint for your AI HR software (reference 9659).,Complaint,Service Complaint,Low
I need information about service request for my subscription (reference 9660).,Service Inquiry,Service Request,Low
I need information about general information for my subscription (reference 9661).,General Inquiry,General Information,High
I urgently need help with details on the software.,Product Inquiry,Product Information,High
Do you know escalating my complaint?,Complaint,Escalation Request,Low
I need information about account request for my subscription (reference 9664).,General Inquiry,Account Request,Medium
I wanted to ask the current pricing for my recent order?,Pricing,Pricing Information,Low
I need information about service information for my account (reference 9666).,Service Inquiry,Service Information,Low
I need information about general information for my subscription (reference 9667).,General Inquiry,General Information,High
I'm having a problem with a problem with the HR platform.,Technical Support,Technical Issue,Medium
I need information about service request for my current plan (reference 9669).,Service Inquiry,Service Request,Low
I was wondering what I'd pay for the customer portal?,Pricing,Pricing Information,Low
Just wanted to check what I'd pay for the mobile app?,Pricing,Pricing Information,Low
I'm having trouble with the current pricing for the mobile app.,Pricing,Pricing Information,Medium
I need information about service request for the HR platform (reference 9673).,Service Inquiry,Service Request,Low
I need information about general information for the customer portal (reference 9674).,General Inquiry,General Information,High
I'm having trouble with details on my account.,Product Inquiry,Product Information,Medium
I'm having trouble with what I'd pay for my subscription.,Pricing,Pricing Information,Medium
I need help with this as soon as possible: getting documentation for my account.,Product Inquiry,Product Request,High
I need information about service complaint for our company account (reference 9678).,Complaint,Service Complaint,High
I'd like to know how much the latest version costs?,Pricing,Pricing Information,Low
I need information about service complaint for your AI HR software (reference 9680).,Complaint,Service Complaint,Medium
I need information about service information for the mobile app (reference 9681).,Service Inquiry,Service Information,Low
I need information about service complaint for my recent order (reference 9682).,Complaint,Service Complaint,High
I urgently need help with your service running very slowly.,Technical Support,Technical Issue,High
I need information about service request for the software (reference 9684).,Service Inquiry,Service Request,Low
I was wondering integrating the HR platform with another tool?,Product Inquiry,Product Request,Low
I'm having a problem with how much the software costs.,Pricing,Pricing Information,Medium
I wanted to ask integrating the HR platform with another tool?,Product Inquiry,Product Request,Low
I need information about general information for the software (reference 9688).,General Inquiry,General Information,Medium
I need information about service complaint for the mobile app (reference 9689).,Complaint,Service Complaint,Low
I need information about service complaint for the customer portal (reference 9690).,Complaint,Service Complaint,Medium
I need information about service request for the premium plan (reference 9691).,Service Inquiry,Service Request,Low
Can you tell me the price of the business plan?,Pricing,Pricing Information,Low
I need information about pricing information for my account (reference 9693).,Pricing,Pricing Information,High
I need information about service request for the premium plan (reference 9694).,Service Inquiry,Service Request,High
I need information about service request for the mobile app (reference 9695).,Service Inquiry,Service Request,High
I need information about general information for my current plan (reference 9696).,General Inquiry,General Information,Medium
I need information about service complaint for my account (reference 9697).,Complaint,Service Complaint,High
Can you tell me speaking with a supervisor?,Complaint,Escalation Request,Low
I need information about service information for the latest version (reference 9699).,Service Inquiry,Service Information,Low
I need information about general information for your service (reference 9700).,General Inquiry,General Information,Low
I need information about service information for my subscription (reference 9701).,Service Inquiry,Service Information,Medium
I urgently need help with how our company account works.,Product Inquiry,Product Information,High
I need information about account request for my subscription (reference 9703).,General Inquiry,Account Request,Low
Please help me resolve this urgently: an error in the software.,Technical Support,Technical Issue,High
I need information about service complaint for the business plan (reference 9705).,Complaint,Service Complaint,High
I need information about service request for the mobile app (reference 9706).,Service Inquiry,Service Request,Low
I need information about general information for the software (reference 9707).,General Inquiry,General Information,Low
I need information about service complaint for the software (reference 9708).,Complaint,Service Complaint,High
I need information about general information for the business plan (reference 9709).,General Inquiry,General Information,Medium
I'm stuck with the price of your AI HR software.,Pricing,Pricing Information,Medium
I need information about service request for the software (reference 9711).,Service Inquiry,Service Request,Low
I need information about service request for my current plan (reference 9712).,Service Inquiry,Service Request,Medium
I need information about service request for the business plan (reference 9713).,Service Inquiry,Service Request,Low
I need information about service request for the software (reference 9714).,Service Inquiry,Service Request,Medium
I need information about general information for the software (reference 9715).,General Inquiry,General Information,Medium
I need information about account request for my recent order (reference 9716).,General Inquiry,Account Request,Medium
I'm having trouble with integrating my account with another tool.,Product Inquiry,Product Request,Medium
Do you know logging into my account?,Technical Support,Technical Issue,Low
This is urgent—can you help with a problem with the premium plan.,Technical Support,Technical Issue,High
I'd like to know how much my current plan costs?,Pricing,Pricing Information,Low
Do you know a problem with my recent order?,Technical Support,Technical Issue,Low
I need some help with how much my account costs.,Pricing,Pricing Information,Medium
I wanted to ask how much the latest version costs?,Pricing,Pricing Information,Low
Can you tell me how much my recent order costs?,Pricing,Pricing Information,Low
I need information about service request for the latest version (reference 9725).,Service Inquiry,Service Request,Medium
I'm stuck with notifications from my recent order not working.,Technical Support,Technical Issue,Medium
I need help with this as soon as possible: my current plan crashing.,Technical Support,Technical Issue,High
Could someone help me with details on your service.,Product Inquiry,Product Information,Medium
I'm trying to find out the business plan not connecting?,Technical Support,Technical Issue,Low
I'm having a problem with the monthly cost of my current plan.,Pricing,Pricing Information,Medium
I need information about general information for the customer portal (reference 9731).,General Inquiry,General Information,Low
I need information about service complaint for the customer portal (reference 9732).,Complaint,Service Complaint,High
I need information about service request for the customer portal (reference 9733).,Service Inquiry,Service Request,Low
I need information about general information for the mobile app (reference 9734).,General Inquiry,General Information,High
I need information about general information for my recent order (reference 9735).,General Inquiry,General Information,Medium
Something isn't working with the latest version running very slowly.,Technical Support,Technical Issue,Medium
I need information about service request for your service (reference 9737).,Service Inquiry,Service Request,High
Could someone help me with uploading a file to my subscription.,Technical Support,Technical Issue,Medium
I need some help with the current pricing for my recent order.,Pricing,Pricing Information,Medium
I was wondering the software crashing?,Technical Support,Technical Issue,Low
I need information about service complaint for the premium plan (reference 9741).,Complaint,Service Complaint,Low
Could you let me know the price of my subscription?,Pricing,Pricing Information,Low
I need information about service complaint for my subscription (reference 9743).,Complaint,Service Complaint,Low
I need information about general information for my current plan (reference 9744).,General Inquiry,General Information,Medium
I need information about account request for the software (reference 9745).,General Inquiry,Account Request,Low
I need information about general information for my current plan (reference 9746).,General Inquiry,General Information,Low
I wanted to ask what I'd pay for the premium plan?,Pricing,Pricing Information,Low
I need information about service complaint for the premium plan (reference 9748).,Complaint,Service Complaint,Low
I need information about service request for my account (reference 9749).,Service Inquiry,Service Request,Medium
Something isn't working with how the customer portal works.,Product Inquiry,Product Information,Medium
I need information about general information for the software (reference 9751).,General Inquiry,General Information,Medium
Please help me resolve this urgently: details on our company account.,Product Inquiry,Product Information,High
Just wanted to check the software crashing?,Technical Support,Technical Issue,Low
I'd like to know how my account works?,Product Inquiry,Product Information,Low
I need information about service complaint for my subscription (reference 9755).,Complaint,Service Complaint,Low
I need information about general information for my subscription (reference 9756).,General Inquiry,General Information,Medium
Could you let me know more information about our company account?,Product Inquiry,Product Information,Low
I can't seem to what I'd pay for my recent order.,Pricing,Pricing Information,Medium
I need information about service information for your AI HR software (reference 9759).,Service Inquiry,Service Information,High
I need information about general information for my account (reference 9760).,General Inquiry,General Information,Medium
Can you tell me how much our company account costs?,Pricing,Pricing Information,Low
This is urgent—can you help with my current plan not connecting.,Technical Support,Technical Issue,High
I need information about service information for your service (reference 9763).,Service Inquiry,Service Information,Low
I need information about service complaint for your AI HR software (reference 9764).,Complaint,Service Complaint,Low
I need information about service request for the HR platform (reference 9765).,Service Inquiry,Service Request,Medium
I need information about general information for my subscription (reference 9766).,General Inquiry,General Information,Low
I'm having a problem with uploading a file to my recent order.,Technical Support,Technical Issue,Medium
I wanted to ask what I'd pay for my account?,Pricing,Pricing Information,Low
I'm having a problem with customizing the customer portal.,Product Inquiry,Product Request,Medium
I need information about general information for my current plan (reference 9770).,General Inquiry,General Information,Medium
Could you let me know uploading a file to the business plan?,Technical Support,Technical Issue,Low
I need information about service request for my recent order (reference 9772).,Service Inquiry,Service Request,High
I need information about general information for the mobile app (reference 9773).,General Inquiry,General Information,Low
I need information about service complaint for my recent order (reference 9774).,Complaint,Service Complaint,Low
I need information about service information for my account (reference 9775).,Service Inquiry,Service Information,Medium
I need information about service complaint for my recent order (reference 9776).,Complaint,Service Complaint,Medium
I need information about general information for the customer portal (reference 9777).,General Inquiry,General Information,Low
I need information about service request for my subscription (reference 9778).,Service Inquiry,Service Request,Low
I need information about general information for the premium plan (reference 9779).,General Inquiry,General Information,Low
I need information about service request for your service (reference 9780).,Service Inquiry,Service Request,Medium
I need information about general information for my recent order (reference 9781).,General Inquiry,General Information,Medium
I wanted to ask details on my account?,Product Inquiry,Product Information,Low
Please help me resolve this urgently: notifications from the HR platform not working.,Technical Support,Technical Issue,High
I need information about service information for the latest version (reference 9784).,Service Inquiry,Service Information,Low
I need information about service complaint for my recent order (reference 9785).,Complaint,Service Complaint,High
I need information about account request for my subscription (reference 9786).,General Inquiry,Account Request,Low
I wanted to ask details on the mobile app?,Product Inquiry,Product Information,Low
Just wanted to check uploading a file to the business plan?,Technical Support,Technical Issue,Low
Do you know uploading a file to the latest version?,Technical Support,Technical Issue,Low
I need some help with integrating the premium plan with another tool.,Product Inquiry,Product Request,Medium
I'm stuck with the price of my subscription.,Pricing,Pricing Information,Medium
I need information about service request for the customer portal (reference 9792).,Service Inquiry,Service Request,High
I need information about service complaint for my current plan (reference 9793).,Complaint,Service Complaint,Medium
I'd like to know the monthly cost of my subscription?,Pricing,Pricing Information,Low
I'm having a problem with the price of the HR platform.,Pricing,Pricing Information,Medium
I'm trying to find out getting documentation for the business plan?,Product Inquiry,Product Request,Low
Just checking—comparing my subscription with another option?,Product Inquiry,Product Request,Low
I need information about general information for the mobile app (reference 9798).,General Inquiry,General Information,Medium
I need information about service complaint for our company account (reference 9799).,Complaint,Service Complaint,Medium
Something isn't working with what I'd pay for the software.,Pricing,Pricing Information,Medium
I need information about general information for your service (reference 9801).,General Inquiry,General Information,Low
I need information about service complaint for the software (reference 9802).,Complaint,Service Complaint,Low
I need information about service request for the business plan (reference 9803).,Service Inquiry,Service Request,Low
Can you tell me integrating the HR platform with another tool?,Product Inquiry,Product Request,Low
I'm running into an issue with troubleshooting the HR platform.,Technical Support,Support Request,Medium
Something isn't working with uploading a file to your AI HR software.,Technical Support,Technical Issue,Medium
I need information about service complaint for your service (reference 9807).,Complaint,Service Complaint,Medium
I'm running into an issue with the current pricing for the business plan.,Pricing,Pricing Information,Medium
I need information about service complaint for my account (reference 9809).,Complaint,Service Complaint,Low
Something isn't working with comparing the latest version with another option.,Product Inquiry,Product Request,Medium
I need information about pricing information for the software (reference 9811).,Pricing,Pricing Information,High
I need information about general information for the premium plan (reference 9812).,General Inquiry,General Information,High
This is urgent—can you help with speaking with a supervisor.,Complaint,Escalation Request,High
I'm trying to find out getting documentation for the premium plan?,Product Inquiry,Product Request,Low
I need information about pricing information for my recent order (reference 9815).,Pricing,Pricing Information,High
Just wanted to check how the mobile app works?,Product Inquiry,Product Information,Low
I'd like to know the mobile app crashing?,Technical Support,Technical Issue,Low
I'm trying to find out my current plan not connecting?,Technical Support,Technical Issue,Low
Could you let me know what the HR platform includes?,Product Inquiry,Product Information,Low
I need information about service complaint for your service (reference 9820).,Complaint,Service Complaint,Low
I can't seem to the current pricing for the premium plan.,Pricing,Pricing Information,Medium
I need information about pricing information for my account (reference 9822).,Pricing,Pricing Information,High
Could someone help me with my account crashing.,Technical Support,Technical Issue,Medium
Could you let me know notifications from the HR platform not working?,Technical Support,Technical Issue,Low
I'm running into an issue with the price of the mobile app.,Pricing,Pricing Information,Medium
I need information about service request for the HR platform (reference 9826).,Service Inquiry,Service Request,Low
I need information about general information for my account (reference 9827).,General Inquiry,General Information,Low
Just wanted to check how much my recent order costs?,Pricing,Pricing Information,Low
I can't seem to the price of my current plan.,Pricing,Pricing Information,Medium
I need information about account request for the HR platform (reference 9830).,General Inquiry,Account Request,Low
I need information about service information for the HR platform (reference 9831).,Service Inquiry,Service Information,High
I need information about service complaint for the HR platform (reference 9832).,Complaint,Service Complaint,Medium
I need information about service information for the HR platform (reference 9833).,Service Inquiry,Service Information,Medium
I'd like to know the price of my current plan?,Pricing,Pricing Information,Low
I need information about service complaint for my subscription (reference 9835).,Complaint,Service Complaint,High
I need information about service complaint for your service (reference 9836).,Complaint,Service Complaint,Medium
I need information about service complaint for the HR platform (reference 9837).,Complaint,Service Complaint,Low
I need information about pricing information for our company account (reference 9838).,Pricing,Pricing Information,High
I need information about account request for our company account (reference 9839).,General Inquiry,Account Request,Low
I need information about service information for my subscription (reference 9840).,Service Inquiry,Service Information,Medium
I need information about general information for the business plan (reference 9841).,General Inquiry,General Information,Low
I'm having a problem with an error in my subscription.,Technical Support,Technical Issue,Medium
I need information about service information for the premium plan (reference 9843).,Service Inquiry,Service Information,High
I wanted to ask an error in the mobile app?,Technical Support,Technical Issue,Low
I need information about service complaint for the mobile app (reference 9845).,Complaint,Service Complaint,Low
I need information about pricing information for the HR platform (reference 9846).,Pricing,Pricing Information,High
I need information about service complaint for the software (reference 9847).,Complaint,Service Complaint,Medium
I need information about service information for our company account (reference 9848).,Service Inquiry,Service Information,Medium
I'd like some information about integrating my account with another tool.,Product Inquiry,Product Request,Low
I need information about general information for my subscription (reference 9850).,General Inquiry,General Information,Low
I'm having a problem with the latest version running very slowly.,Technical Support,Technical Issue,Medium
I need information about service request for the latest version (reference 9852).,Service Inquiry,Service Request,Medium
I wanted to ask how my recent order works?,Product Inquiry,Product Information,Low
I need information about service request for my account (reference 9854).,Service Inquiry,Service Request,Low
I need information about service complaint for my current plan (reference 9855).,Complaint,Service Complaint,Medium
Do you know adding a feature to the mobile app?,Product Inquiry,Product Request,Low
This is urgent—can you help with a problem with my current plan.,Technical Support,Technical Issue,High
Could someone help me with what I'd pay for the customer portal.,Pricing,Pricing Information,Medium
I need information about pricing information for our company account (reference 9859).,Pricing,Pricing Information,Low
I'm having trouble with the current pricing for my recent order.,Pricing,Pricing Information,Medium
I need information about service request for the business plan (reference 9861).,Service Inquiry,Service Request,High
I need information about service request for my recent order (reference 9862).,Service Inquiry,Service Request,High
I'm stuck with customizing our company account.,Product Inquiry,Product Request,Medium
I need information about service request for my subscription (reference 9864).,Service Inquiry,Service Request,Medium
I'm trying to find out logging into the mobile app?,Technical Support,Technical Issue,Low
I urgently need help with adding a feature to the HR platform.,Product Inquiry,Product Request,High
I need some help with the price of the customer portal.,Pricing,Pricing Information,Medium
Do you know integrating my recent order with another tool?,Product Inquiry,Product Request,Low
I need information about account request for my subscription (reference 9869).,General Inquiry,Account Request,Medium
I need information about general information for your service (reference 9870).,General Inquiry,General Information,Medium
I need information about service complaint for the software (reference 9871).,Complaint,Service Complaint,Medium
I can't seem to more information about your service.,Product Inquiry,Product Information,Medium
I wanted to ask more information about my recent order?,Product Inquiry,Product Information,Low
I need information about service information for your service (reference 9874).,Service Inquiry,Service Information,Low
I need information about service request for the software (reference 9875).,Service Inquiry,Service Request,Medium
Do you know logging into your service?,Technical Support,Technical Issue,Low
This is urgent—can you help with adding a feature to my recent order.,Product Inquiry,Product Request,High
I need information about service request for the business plan (reference 9878).,Service Inquiry,Service Request,Low
I need information about service information for my account (reference 9879).,Service Inquiry,Service Information,Medium
I need information about service information for the HR platform (reference 9880).,Service Inquiry,Service Information,Medium
I need information about service request for my subscription (reference 9881).,Service Inquiry,Service Request,Medium
I wanted to ask logging into my account?,Technical Support,Technical Issue,Low
Can you tell me comparing the latest version with another option?,Product Inquiry,Product Request,Low
I need information about general information for the premium plan (reference 9884).,General Inquiry,General Information,Low
I need information about general information for my subscription (reference 9885).,General Inquiry,General Information,Low
I need information about service complaint for the business plan (reference 9886).,Complaint,Service Complaint,Medium
I need information about service request for the latest version (reference 9887).,Service Inquiry,Service Request,Low
I'm trying to find out notifications from my recent order not working?,Technical Support,Technical Issue,Low
Please help me resolve this urgently: an error in the business plan.,Technical Support,Technical Issue,High
I need information about service information for the premium plan (reference 9890).,Service Inquiry,Service Information,Low
I need information about service complaint for my account (reference 9891).,Complaint,Service Complaint,Low
I need information about account request for my subscription (reference 9892).,General Inquiry,Account Request,Low
Please help me resolve this urgently: a problem with your AI HR software.,Technical Support,Technical Issue,High
I'm having a problem with how much my subscription costs.,Pricing,Pricing Information,Medium
I need information about service complaint for the premium plan (reference 9895).,Complaint,Service Complaint,Low
I need information about service information for the HR platform (reference 9896).,Service Inquiry,Service Information,Medium
I need information about service request for the latest version (reference 9897).,Service Inquiry,Service Request,Low
I need information about pricing information for the latest version (reference 9898).,Pricing,Pricing Information,High
